Age,Income,Loan_Amount,Credit_Score,Employment_Type,Loan_Approved
31,148386,453082,730,Salaried,1
50,25626,251139,832,Salaried,0
51,27424,284706,592,Unemployed,0
44,32857,175426,400,Salaried,0
29,,114027,801,Unemployed,0
23,135621,209210,603,Unemployed,0
51,39982,142601,839,Self-Employed,0
57,96961,79956,852,Salaried,1
56,21980,288340,654,Salaried,0
44,68290,154797,602,Self-Employed,0
51,46431,437061,795,Salaried,0
26,104976,438447,526,,0
22,127288,186511,535,Self-Employed,0
40,,490457,754,Unemployed,0
48,134187,354677,312,Self-Employed,0
31,46385,471486,509,Salaried,0
24,58158,128815,696,Self-Employed,1
35,,89279,399,Salaried,0
26,38639,421931,330,Salaried,0
50,105530,467104,827,Unemployed,0
58,119911,198702,628,Salaried,0
22,41563,111063,465,,0
35,59341,299599,758,Salaried,1
31,135672,304311,399,Unemployed,0
28,25776,177896,472,Self-Employed,0
46,56444,216216,461,Self-Employed,0
25,88916,495377,562,Self-Employed,0
26,28711,272146,573,Salaried,0
46,,258432,302,Salaried,0
24,102970,232051,327,Salaried,1
39,132301,147661,625,Salaried,0
40,105553,450195,448,Salaried,0
53,50707,469405,839,Unemployed,0
40,59110,223672,787,Salaried,1
32,149410,173257,737,Salaried,1
21,81788,398349,364,Salaried,0
46,102879,319054,655,Salaried,1
34,58827,359001,832,Unemployed,0
58,127188,84964,551,Salaried,0
57,25655,468443,534,Salaried,0
31,64859,449194,526,Self-Employed,0
56,73625,329297,824,Salaried,1
33,72098,371909,612,Salaried,0
23,35251,280156,348,Salaried,0
53,142413,158212,417,Self-Employed,0
26,20526,89071,353,Unemployed,0
30,88760,162990,864,Self-Employed,1
25,,119519,343,Salaried,0
43,145133,59503,352,Unemployed,0
30,149478,241775,885,Salaried,1
22,31536,145457,857,Salaried,0
33,48541,238938,824,,0
22,99083,197977,401,Salaried,0
40,,95838,697,Self-Employed,0
21,54531,437344,437,Self-Employed,0
57,28712,139489,686,Unemployed,1
29,124101,76806,410,Self-Employed,0
37,85455,226072,316,Self-Employed,0
29,94744,465384,481,Salaried,0
31,141787,120119,835,Salaried,1
35,149749,350858,840,Self-Employed,1
44,25109,235165,470,Salaried,0
58,141332,367563,708,Unemployed,0
55,69268,492361,677,Salaried,0
50,120737,155432,487,Salaried,1
51,74615,405093,529,Salaried,0
25,102503,445677,418,Salaried,0
34,143274,457507,455,Salaried,0
31,49759,227876,764,Self-Employed,0
29,105708,389115,403,Salaried,0
54,80112,405615,801,Self-Employed,1
32,122471,377090,474,Salaried,0
55,146740,411133,720,Salaried,1
55,143153,134080,433,Salaried,0
21,46589,302791,690,Unemployed,0
42,50015,127794,800,Salaried,1
49,49009,342985,332,Self-Employed,0
28,103309,174447,354,Salaried,0
31,146446,170029,818,Self-Employed,1
57,82046,229830,311,Salaried,0
34,126661,388416,827,Self-Employed,1
50,46143,87643,854,Self-Employed,0
55,26154,493624,672,Unemployed,0
41,41804,356094,783,Salaried,1
57,61688,237921,527,Salaried,1
25,84288,412644,606,Salaried,0
39,71195,209116,756,Unemployed,0
34,40581,437732,459,Self-Employed,0
46,72648,65997,630,Self-Employed,1
24,50087,391895,524,Salaried,0
45,69930,148605,803,Salaried,1
45,52981,467127,755,Salaried,1
38,89298,367677,344,Unemployed,0
28,66167,394710,513,Self-Employed,0
59,95304,275942,358,Unemployed,0
34,63408,195643,494,Salaried,0
52,59499,158255,788,Self-Employed,1
58,145816,310298,456,,0
53,72269,108005,525,Salaried,0
43,58559,267322,711,Unemployed,0
35,134126,239784,504,Unemployed,0
53,94319,93541,378,Unemployed,0
45,131925,73387,423,Self-Employed,1
37,115317,406124,770,Salaried,1
53,116347,229980,517,Salaried,0
22,68787,135457,815,Unemployed,0
34,55488,194129,403,Salaried,0
59,94441,114028,692,Self-Employed,1
26,94663,169246,733,Self-Employed,1
26,42431,367875,630,Self-Employed,0
23,81681,205930,442,Unemployed,0
27,83483,229761,839,Salaried,1
28,142720,94638,577,Salaried,0
35,69153,227558,532,Salaried,0
49,26368,70567,828,Salaried,0
53,47424,472955,870,Salaried,0
50,132360,107804,389,Salaried,0
59,65004,420965,791,Unemployed,0
47,103869,53754,498,Unemployed,1
56,108652,77044,661,Salaried,1
49,132755,117260,740,Salaried,1
58,76985,116912,325,Unemployed,0
53,70069,306695,324,Salaried,0
57,72326,58706,693,Salaried,1
47,128737,321038,806,Salaried,1
53,101061,461253,600,Self-Employed,0
24,43398,396130,638,Salaried,0
42,118393,394086,566,Unemployed,0
22,70861,232684,760,Salaried,1
30,95897,79725,755,Self-Employed,1
25,101905,186998,659,Salaried,1
30,147118,154555,367,Salaried,0
53,88577,311486,711,Self-Employed,1
58,85641,321640,790,Self-Employed,1
33,29078,106447,348,Self-Employed,0
51,45003,413748,863,Self-Employed,0
56,82768,210878,401,Unemployed,1
44,71047,400343,515,Unemployed,0
35,91626,91321,737,Self-Employed,1
49,77660,303113,868,,1
28,124386,283103,858,Salaried,1
25,69786,465872,458,Salaried,0
49,21925,105147,788,Self-Employed,0
24,103976,141396,541,Salaried,0
32,125221,492882,304,Salaried,0
22,,350931,895,Unemployed,0
47,,294839,660,Unemployed,0
51,46015,71727,758,Unemployed,0
56,53320,289423,547,Salaried,0
56,84881,145081,865,Self-Employed,1
46,110827,434865,721,Salaried,1
47,140071,291130,314,Salaried,0
25,122215,118056,872,Salaried,1
40,46289,184153,421,Salaried,0
31,148859,215268,576,Salaried,0
30,23389,217807,857,Unemployed,0
58,45683,285821,752,Salaried,0
26,33629,130102,689,Self-Employed,0
28,81550,206570,593,Self-Employed,0
43,44826,126865,873,Salaried,0
46,120734,212728,897,Salaried,1
32,46630,117695,745,Salaried,0
46,118762,481116,509,Self-Employed,1
33,66163,167235,889,,1
38,118511,490917,601,Salaried,0
45,86435,158777,522,Salaried,1
53,31653,69033,302,,0
32,47961,191877,817,Unemployed,0
56,101941,216923,392,Salaried,0
24,94137,76832,819,Self-Employed,1
25,53662,244509,727,Self-Employed,1
57,118818,427869,792,Unemployed,0
28,76446,195016,534,Unemployed,0
48,41288,332017,460,Self-Employed,0
51,142555,90372,630,Self-Employed,1
29,115081,139464,632,,0
49,56877,196451,349,Salaried,0
34,131562,167322,822,,1
42,35313,217823,791,Salaried,0
31,100885,412226,881,Unemployed,0
43,92715,270894,571,Unemployed,1
21,30326,317254,879,Salaried,0
57,130091,497557,551,Self-Employed,0
41,145836,324231,859,Salaried,1
46,21560,466978,389,Salaried,0
56,99148,394761,745,Unemployed,0
43,103186,150483,631,Salaried,0
21,46745,59596,438,Salaried,1
35,51890,284627,656,Self-Employed,1
41,40022,157539,573,Self-Employed,0
29,143629,68313,318,Salaried,0
29,72579,425319,610,Self-Employed,0
30,90316,247621,453,Self-Employed,1
46,103847,164914,689,Salaried,1
55,48380,73705,559,Salaried,0
45,130198,248436,870,Self-Employed,1
46,22356,385589,424,Salaried,0
31,,153892,653,Unemployed,0
58,112447,259717,572,Unemployed,0
22,134994,314167,544,Unemployed,0
27,109899,169654,749,Salaried,1
38,40049,240868,546,Unemployed,0
47,95717,130073,819,Salaried,1
